variable name,variable description,data type,values,filename
ML_phd_doc_years,M: University PhD / Doctorate - Number of years,numeric,0.0 to 30.0,scq_export
ML_cler_admin_book_course,"M: Clerical, administrative or book-keeping course",category,"[0.0, 1.0, 2.0]",scq_export
ML_cler_admin_book_course_years,"M: Clerical, administrative or book-keeping course # yrs",category,"[0.0, 0.5, 1.0, 2.0, 4.0, 5.0, 6.0]",scq_export
ML_business_course,M: Business course,category,"[0.0, 1.0, 2.0]",scq_export
ML_business_course_years,M: Business course - Number of years,category,"[0.0, 1.0, 1.5, 2.0, 3.0, 6.0]",scq_export
ML_trade_appre,M: Trade apprenticeship,category,"[0.0, 1.0, 2.0]",scq_export
ML_trade_appre_years,M: Trade apprenticeship - Number of years,category,"[0.0, 1.0, 3.0, 4.0, 5.0]",scq_export
ML_prof_other,M: Other professional course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
ML_prof_other_specify,M: Other professional course (specify),string,,scq_export
ML_prof_other_years,M: Other professional course - Number of years,numeric,0.0 to 40.0,scq_export
ML_technical,M: Other technical course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
ML_technical_specify,M: Other technical course (specify),string,,scq_export
ML_technical_years,M: Other technical course - Number of years,numeric,0.0 to 25.0,scq_export
ML_graduate,M: Other graduate course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
ML_graduate_specify,M: Other graduate course (specify),string,,scq_export
ML_graduate_years,M: Other graduate course - Number of years,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0, 35.0]",scq_export
ML_other,M: Any other course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
ML_other_specify,M: Any other course (specify),string,,scq_export
ML_other_years,M: Any other course - Number of years,numeric,0.0 to 34.0,scq_export
ML_comments_m_training,Comments on training,string,,scq_export
ML_uk_ireland,M - Around the UK / Ireland away from where I lived,category,"[FALSE, TRUE, nan]",scq_export
ML_south_eur,M - Southern Europe,category,"[FALSE, TRUE, nan]",scq_export
ML_north_afr_mid_east,M - Northern Africa / Middle East,category,"[FALSE, TRUE, nan]",scq_export
ML_north_america,M - North America,category,"[FALSE, TRUE, nan]",scq_export
ML_aust_nz_pac_antarc,M - Australia / New Zealand / Pacific Islands / Antarctica,category,"[FALSE, TRUE, nan]",scq_export
ML_north_eur_scand,M - Northern Europe / Scandinavia,category,"[FALSE, TRUE, nan]",scq_export
ML_east_eur,M - Eastern Europe,category,"[FALSE, TRUE, nan]",scq_export
ML_south_afr,M - Southern Africa / Asia,category,"[FALSE, TRUE, nan]",scq_export
ML_south_amer_cent_amer_carrib,M - South America / Central America / Carribbean,category,"[FALSE, TRUE, nan]",scq_export
ML_none,M - None of the above,category,"[FALSE, TRUE, nan]",scq_export
ML_comments_m_travel,Comments on travel,string,,scq_export
ML_outing,"M - Outing to see family member, friend or group of friends",category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_instrument,M - Practise or play a musical instrument,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_art,M - Practice or develop an artistic pastime,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_mild_activ,M - Mildly energetic activities,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_mod_activ,M - Moderately energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_vig_activ,M - Vigorous energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_read,M - Read (material or any sort),category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_language,M - Speak a second language,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_games,M - Computer games / games consoles,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_internet,M - Social networking / internet surfing,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_crossword_sudoku,M - Crossword puzzles / sudoku,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_strategic_games,"M - Strategic games (eg, chess)",category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_prayer_relig,,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
ML_comments_m_activities,Comments on activities,string,,scq_export
in_mid_life,,category,[1.0],scq_export
LL_date_questionnaire,Date questionnaire completed,date,,scq_export
LL_cse,L: CSE,category,[0.0],scq_export
LL_cse_years,L: CSE - Number of years,category,[0.0],scq_export
LL_nvq1_bteci,L: NVQ Level 1 / BTEC Introductory,category,[0.0],scq_export
LL_nvq1_bteci_years,L: NVQ Level 1 / BTEC Introductory - Number of years,category,[0.0],scq_export
LL_o_level_gcse_leaving,L: O Level / GCSE / Leaving certificate,category,"[0.0, 1.0, 2.0]",scq_export
LL_o_level_gcse_leaving_years,L: O Level / GCSE / Leaving certificate - Number of years,category,"[0.0, 1.0, 2.0]",scq_export
LL_nvq2_btec1,L: NVQ Level 2 / BTEC First Diploma,category,[0.0],scq_export
LL_nvq2_btec1_years,L: NVQ Level 2 / BTEC First Diploma - Number of years,category,[0.0],scq_export
LL_a_level_ib,L: A Level / Internation Baccalaureate,category,"[0.0, 2.0]",scq_export
LL_a_level_ib_years,L: A Level / Internation Baccalaureate - Number of years,category,"[0.0, 2.0]",scq_export
LL_nvq3_btecd,L: NVQ Level 3 / BTEC Diploma,category,[0.0],scq_export
LL_nvq3_btecd_years,L: NVQ Level 3 / BTEC Diploma - Number of years,category,[0.0],scq_export
LL_hnc_hnd_nvq4_btecp,L: HNC / HND / NVQ Level 4 / BTEC Professional,category,[0.0],scq_export
LL_hnc_hnd_nvq4_btecp_years,L: HNC / HND / NVQ Level 4 / BTEC Professional # yrs,category,[0.0],scq_export
LL_btec_ad,L: BTEC Advanced,category,[0.0],scq_export
LL_btec_ad_years,L: BTEC Advanced - Number of years,category,[0.0],scq_export
LL_col_dip,L: College Diploma,category,"[0.0, 2.0]",scq_export
LL_col_dip_years,L: College Diploma - Number of years,category,"[0.0, 2.0, 3.0]",scq_export
LL_undergrad,L: University Ungergraduate,category,"[0.0, 2.0]",scq_export
LL_undergrad_years,L: University Ungergraduate - Number of years,category,"[0.0, 2.0, 6.0]",scq_export
LL_masters,L: University Masters,category,"[0.0, 2.0]",scq_export
LL_masters_years,L: University Masters - Number of years,category,"[0.0, 3.0]",scq_export
LL_phd_doc,L: University PhD / Doctorate,category,"[0.0, 2.0]",scq_export
LL_phd_doc_years,L: University PhD / Doctorate - Number of years,category,"[0.0, 1.0, 4.0]",scq_export
LL_cler_admin_book_course,"L: Clerical, administrative or book-keeping course",category,"[0.0, 1.0, 2.0]",scq_export
LL_cler_admin_book_course_years,"L: Clerical, administrative or book-keeping course # yrs",category,"[0.0, 1.0]",scq_export
LL_business_course,L: Business course,category,"[0.0, 2.0]",scq_export
LL_business_course_years,L: Business course - Number of years,category,"[0.0, 0.5, 1.0, 3.0]",scq_export
LL_trade_appre,L: Trade apprenticeship,category,[0.0],scq_export
LL_trade_appre_years,L: Trade apprenticeship - Number of years,category,[0.0],scq_export
LL_prof_other,L: Other professional course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
LL_prof_other_specify,L: Other professional course (specify course name),string,,scq_export
LL_prof_other_years,L: Other professional course - Number of years,category,"[0.0, 0.5, 1.0, 2.0, 3.0, 6.0, 9.0, 18.0]",scq_export
LL_technical,L: Other technical course (specify if studied),category,"[0.0, 2.0]",scq_export
LL_technical_specify,L: Other technical course (specify course name),string,,scq_export
LL_technical_years,L: Other technical course - Number of years,category,"[0.0, 1.0, 2.0]",scq_export
LL_graduate,L: Other graduate course (specify if studied),category,"[0.0, 2.0]",scq_export
LL_graduate_specify,L: Other graduate course (specify course name),string,,scq_export
LL_graduate_years,L: Other graduate course - Number of years,category,"[0.0, 1.0, 2.0, 3.0]",scq_export
LL_other,L: Any other course (specify if studied),category,"[0.0, 1.0, 2.0]",scq_export
LL_other_specify,L: Any other course (specify),string,,scq_export
LL_other_years,L: Any other course - Number of years,numeric,0.0 to 20.0,scq_export
LL_comments_l_training,,string,,scq_export
LL_uk_ireland,L - Around the UK / Ireland away from where I lived,category,"[FALSE, TRUE, nan]",scq_export
LL_south_eur,L - Southern Europe,category,"[FALSE, TRUE, nan]",scq_export
LL_north_afr_mid_east,L - Northern Africa / Middle East,category,"[FALSE, TRUE, nan]",scq_export
LL_north_america,L - North America,category,"[FALSE, TRUE, nan]",scq_export
LL_aust_nz_pac_antarc,L - Australia / New Zealand / Pacific Islands / Antarctica,category,"[FALSE, TRUE, nan]",scq_export
LL_north_eur_scand,L - Northern Europe / Scandinavia,category,"[FALSE, TRUE, nan]",scq_export
LL_east_eur,L - Eastern Europe,category,"[FALSE, TRUE, nan]",scq_export
LL_south_afr,L - Southern Africa / Asia,category,"[FALSE, TRUE, nan]",scq_export
LL_south_amer_cent_amer_carrib,L - South America / Central America / Carribbean,category,"[FALSE, TRUE, nan]",scq_export
LL_none,L - None of the above,category,"[FALSE, TRUE, nan]",scq_export
LL_comments_l_travel,Comments on travel,string,,scq_export
LL_outing,"L - Outing to see family member, friend or group of friends",category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_instrument,L - Practise or play a musical instrument,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_art,L - Practice or develop an artistic pastime,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_mild_activ,L - Mildly energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_mod_activ,L - Moderately energetic activities,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_vig_activ,L - Vigorous energetic activities,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_read,L - Read (material or any sort),category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_language,L - Speak a second language,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_games,L - Computer games / games consoles,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_internet,L - Social networking / internet surfing,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_crossword_sudoku,L - Crossword puzzles / sudoku,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_strategic_games,"L - Strategic games (eg, chess)",category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_prayer_relig,,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
LL_comments_l_activities,Conments on activities,string,,scq_export
in_later_life,,category,[1.0],scq_export
date_questionnaire,Date questionnaire completed,date,,scq_export
socialising_face_to_face,1 - Socialising (face-to-face),category,"[FALSE, TRUE, nan]",scq_export
reading,1 - Reading,category,"[FALSE, TRUE, nan]",scq_export
writing,1 - Writing,category,"[FALSE, TRUE, nan]",scq_export
studying,1 - Studying,category,"[FALSE, TRUE, nan]",scq_export
teaching,1 - Teaching,category,"[FALSE, TRUE, nan]",scq_export
volunteer_work,1 - Volunteer work,category,"[FALSE, TRUE, nan]",scq_export
paidwork,1 - Paid work,category,"[FALSE, TRUE, nan]",scq_export
socialnetworking_sites,1 - Social networking sites,category,"[FALSE, TRUE, nan]",scq_export
twitter_texting,Twitter,category,"[0.0, 1.0]",scq_export
none_of_the_above_activities,1 - None of the above,category,"[FALSE, TRUE, nan]",scq_export
prayer_relig_ctivity,1 - Prayer / religious activity,category,"[FALSE, TRUE, nan]",scq_export
helping_friends_family,1 - Helping friends / family,category,"[FALSE, TRUE, nan]",scq_export
artistry,1 - Artistry,category,"[FALSE, TRUE, nan]",scq_export
strategic_games,,category,"[0.0, 1.0]",scq_export
learn_something_new,1 - Learning something new,category,"[FALSE, TRUE, nan]",scq_export
hobby_pastime,1 - Hobby pastime,category,"[FALSE, TRUE, nan]",scq_export
braintraining_games,1 - Brain training games,category,"[FALSE, TRUE, nan]",scq_export
other_computer_based_games,1 - Other computer based games,category,"[FALSE, TRUE, nan]",scq_export
crosswordpuzzles_sudoku,1 - Crossword puzzles / sudoku,category,"[FALSE, TRUE, nan]",scq_export
cinema,2 - Going to the cinema,category,"[FALSE, TRUE, nan]",scq_export
pub,2 - Going to the pub,category,"[FALSE, TRUE, nan]",scq_export
pop_concerts,2 - Going to pop concerts,category,"[FALSE, TRUE, nan]",scq_export
sport_events,2 - Going to sporting events,category,"[FALSE, TRUE, nan]",scq_export
theatre,2 - Going to the theatre,category,"[FALSE, TRUE, nan]",scq_export
restaurant,2 - Going to a restaurant,category,"[FALSE, TRUE, nan]",scq_export
festivals,2 - Going to festivals,category,"[FALSE, TRUE, nan]",scq_export
clubs_societies,Going to clubs and societies,category,"[0.0, 1.0]",scq_export
none_of_the_above_entertainment,2 - None of the above,category,"[FALSE, TRUE, nan]",scq_export
no_particular_way,3 - No particular way,category,"[FALSE, TRUE, nan]",scq_export
tv,3 - TV,category,"[FALSE, TRUE, nan]",scq_export
newspapers,3 - Newspapers,category,"[FALSE, TRUE, nan]",scq_export
internet,3 - Internet,category,"[FALSE, TRUE, nan]",scq_export
friends_word_of_mouth,3 - Friends / word of mouth,category,"[FALSE, TRUE, nan]",scq_export
radio,3 - Radio,category,"[FALSE, TRUE, nan]",scq_export
magazines,3 - Magazines,category,"[FALSE, TRUE, nan]",scq_export
other_way_info,3 - Other (please tick then comment),category,"[FALSE, TRUE, nan]",scq_export
newspaperarticles,4 - Newspaper articles,category,"[FALSE, TRUE, nan]",scq_export
novelbooks,4 - Novel / books,category,"[FALSE, TRUE, nan]",scq_export
other_materials,4 - Other,category,"[0.0, 1.0]",scq_export
other_materials_specify,4 - Other (details),string,,scq_export
magazine_articles,4 - Magazine articles,category,"[FALSE, TRUE, nan]",scq_export
internet_blogs_articles,4 - Internet blogs / articles,category,"[FALSE, TRUE, nan]",scq_export
none_of_the_above_materials,4 - None of the above,category,"[FALSE, TRUE, nan]",scq_export
uk_ireland_5yrs,5 - UK Ireland,category,"[0.0, 1.0]",scq_export
south_eur_5yrs,5 - Southern Europe,category,"[FALSE, TRUE, nan]",scq_export
north_afr_mid_east_5yrs,5 - Northern Africa / Middle East,category,"[FALSE, TRUE, nan]",scq_export
north_america_5yrs,5 - North America,category,"[FALSE, TRUE, nan]",scq_export
aust_nz_pac_antarc_5yrs,5 - Australia / New Zealand / Pacific Islands / Antarctica,category,"[FALSE, TRUE, nan]",scq_export
north_eur_scand_5yrs,5 - Northern Europe / Scandinavia,category,"[FALSE, TRUE, nan]",scq_export
east_eur_5yrs,5 - Eastern Europe,category,"[FALSE, TRUE, nan]",scq_export
south_afr_5yrs,5 - Southern Africa / Asia,category,"[FALSE, TRUE, nan]",scq_export
south_amer_cent_amer_carrib_5yrs,5 - South America / Central America / Carribbean,category,"[FALSE, TRUE, nan]",scq_export
none_of_the_above_travel_5yrs,5 - None of the above,category,"[FALSE, TRUE, nan]",scq_export
soc_no18_19,Job title 18-19:,numeric,0 to 0,scq_export
no_in_charge18_19,18-19 # people in charge of,numeric,0.0 to 30.0,scq_export
soc_no20_24,Job title 20-24:,numeric,0 to 10,scq_export
no_in_charge20_24,20-24 # people in charge of,numeric,0.0 to 200.0,scq_export
soc_no25_29,Job title 25-29:,numeric,0 to 10,scq_export
no_in_charge25_29,25-29 # people in charge of,numeric,0.0 to 250.0,scq_export
soc_no30_34,Job title 30-34:,numeric,0 to 10,scq_export
no_in_charge30_34,30-34 # people in charge of,numeric,0.0 to 250.0,scq_export
soc_no35_39,Job title 35-39:,numeric,0 to 10,scq_export
no_in_charge35_39,35-39 # people in charge of,numeric,0.0 to 250.0,scq_export
soc_no40_44,Job title 40-44:,numeric,0 to 10,scq_export
no_in_charge40_44,40-44 # people in charge of,numeric,0.0 to 250.0,scq_export
soc_no45_49,Job title 45-49:,numeric,0 to 10,scq_export
no_in_charge45_49,45-49 # people in charge of,numeric,0.0 to 2000.0,scq_export
soc_no50_54,Job title 50-54:,numeric,0 to 10,scq_export
no_in_charge50_54,50-54 # people in charge of,numeric,0.0 to 2000.0,scq_export
soc_no55_59,Job title 55-59:,numeric,0 to 10,scq_export
no_in_charge55_59,55-59 # people in charge of,numeric,0.0 to 3500.0,scq_export
soc_no60_64,Job title 60-64:,numeric,0 to 10,scq_export
no_in_charge60_64,60-64 # people in charge of,numeric,0.0 to 2000.0,scq_export
soc_no65_69,Job title 65-69:,numeric,0 to 10,scq_export
no_in_charge65_69,65-69 # people in charge of,numeric,0.0 to 250.0,scq_export
soc_no70_74,Job title 70-74:,numeric,0 to 10,scq_export
no_in_charge70_74,70-74 # people in charge of,numeric,0.0 to 210.0,scq_export
soc_no75_plus,Job title 75+:,string,,scq_export
no_in_charge75_plus,75+ # people in charge of,category,"[0.0, 1.0, 2.0, 5.0, 6.0, 10.0, 210.0]",scq_export
in_recent_activities,,category,[1.0],scq_export
wkday_get_up,Wkday_get_up,time,,scq_export
wkday_go_to_bed,Weekday time going to bed,time,,scq_export
wkend_get_up,Wkend_get_up,time,,scq_export
wkend_go_to_bed,Weekend going to bed,time,,scq_export
transport_less_1_mile,Transport_less_1_mile,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
transport_1_5_miles,Transport_1_5_miles,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
transport_5miles_plus,Transport_5miles_plus,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
tv_video_wkday_before6,TV_video_wkday_before6,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
tv_video_wkday_after6,TV_video_wkday_after6,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
tv_video_wkend_before6,TV_video_wkend_before6,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
tv_video_wkend_after6,TV_video_wkend_after6,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
flights_stairs_wkday,Flights_stairs_wkday,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
flights_stairs_wkend,Flights_stairs_wkend,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
home_act_food,Home_act_food,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_food_shop,Home_act_food_shop,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_other_shop,Home_act_other_shop,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_clean,Home_act_clean,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_laundry,Home_act_laundry,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_care_children,Home_act_care_children,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
home_act_care,Home_act_care,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
hrs_week_job1,Hrs_week_job1,numeric,-1.0 to 105.0,scq_export
months_worked_job1,Months_worked_job1,numeric,-1.0 to 80.0,scq_export
hrs_week_job2,Hrs_week_job2,numeric,-1.0 to 105.0,scq_export
months_worked_job2,Months_worked_job2,numeric,-1.0 to 48.0,scq_export
job1_sit_light,Job1_sit_light,category,"[FALSE, TRUE, nan]",scq_export
job1_sit_light_hrs,Job1_sit_light_hrs,numeric,0.0 to 99.0,scq_export
job1_sit_mod,Job1_sit_mod,category,"[FALSE, TRUE, nan]",scq_export
job1_sit_mod_hrs,Job1_sit_mod_hrs,numeric,0.0 to 25.0,scq_export
job1_stand_light,Job1_stand_light,category,"[FALSE, TRUE, nan]",scq_export
job1_stand_light_hrs,Job1_stand_light_hrs,numeric,0.0 to 51.0,scq_export
job1_stand_light_mod,Job1_stand_light_mod,category,"[FALSE, TRUE, nan]",scq_export
job1_stand_light_mod_hrs,Job1_stand_light_mod_hrs,numeric,0.0 to 54.0,scq_export
job1_stand_mod,Job1_stand_mod,category,"[FALSE, TRUE, nan]",scq_export
job1_stand_mod_hrs,Job1_stand_mod_hrs,numeric,0.0 to 48.0,scq_export
job1_stand_mod_heavy,Job1_stand_mod_heavy,category,"[FALSE, TRUE, nan]",scq_export
job1_stand_mod_heavy_hrs,Job1_stand_mod_heavy_hrs,numeric,0.0 to 48.0,scq_export
job1_walk_light,Job1_walk_light,category,"[0.0, 1.0]",scq_export
job1_walk_light_hrs,Job1_walk_light_hrs,numeric,0.0 to 45.0,scq_export
job1_walk_heavy,Job1_walk_heavy,category,"[0.0, 1.0]",scq_export
job1_walk_heavy_hrs,Job1_walk_heavy_hrs,numeric,0.0 to 40.0,scq_export
job1_move_push,Job1_move_push,category,"[FALSE, TRUE, nan]",scq_export
job1_move_push_hrs,Job1_move_push_hrs,numeric,0.0 to 38.0,scq_export
job2_sit_light,Job2_sit_light,category,"[FALSE, TRUE, nan]",scq_export
job2_sit_light_hrs,Job2_sit_light_hrs,numeric,0.0 to 50.0,scq_export
job2_sit_mod,Job2_sit_mod,category,"[FALSE, TRUE, nan]",scq_export
job2_sit_mod_hrs,Job2_sit_mod_hrs,category,"[0.0, 1.0, 2.5, 3.5, 8.0, 10.0]",scq_export
job2_stand_light,Job2_stand_light,category,"[FALSE, TRUE, nan]",scq_export
job2_stand_light_hrs,Job2_stand_light_hrs,numeric,0.0 to 51.0,scq_export
job2_stand_light_mod,Job2_stand_light_mod,category,"[FALSE, TRUE, nan]",scq_export
job2_stand_light_mod_hrs,Job2_stand_light_mod_hrs,numeric,0.0 to 38.0,scq_export
job2_stand_mod,Job2_stand_mod,category,"[FALSE, TRUE, nan]",scq_export
job2_stand_mod_hrs,Job2_stand_mod_hrs,category,"[0.0, 1.0, 2.0, 2.5, 3.0, 4.0, 7.5, 15.0, 20.0]",scq_export
job2_stand_mod_heavy,Job2_stand_mod_heavy,category,"[FALSE, TRUE, nan]",scq_export
job2_stand_mod_heavy_hrs,Job2_stand_mod_heavy_hrs,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 12.0, 20.0, 35.0]",scq_export
job2_walk_light,Job2_walk_light,category,"[0.0, 1.0]",scq_export
job2_walk_light_hrs,Job2_walk_light_hrs,numeric,0.0 to 50.0,scq_export
job2_walk_heavy,Job2_walk_heavy,category,"[0.0, 1.0]",scq_export
job2_walk_heavy_hrs,Job2_walk_heavy_hrs,numeric,0.0 to 17.5,scq_export
job2_move_push,Job2_move_push,category,"[FALSE, TRUE, nan]",scq_export
job2_move_push_hrs,Job2_move_push_hrs,category,"[-1.0, 0.0, 0.5, 1.0, 2.0, 5.0, 17.5, 20.0, 30.0]",scq_export
job1_kneel,Job1_kneel,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job1_squat,Job1_squat,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job1_get_up_30plus,Job1_get_up_30plus,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job2_kneel,Job2_kneel,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job2_squat,Job2_squat,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job2_get_up_30plus,Job2_get_up_30plus,category,"[-2.0, -1.0, 1.0, 2.0]",scq_export
job1_miles,,numeric,-2.0 to 5000.0,scq_export
job1_frequency,,numeric,-2.0 to 20.0,scq_export
job2_miles,,numeric,-2.0 to 5000.0,scq_export
job2_frequency,,numeric,-2.0 to 30.0,scq_export
job1_car,Job1_car,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job1_works_public,Job1_works_public,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job1_bicycle,Job1_bicycle,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job1_walk,Job1_walk,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job2_car,Job2_car,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job2_works_public,Job2_works_public,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job2_bicycle,Job2_bicycle,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job2_walk,Job2_walk,category,"[-2.0, -1.0, 1.0, 2.0, 3.0, 4.0]",scq_export
job1_stairs,J1_stairs,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
job1_ladders,J1_ladders,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
job2_stairs,J2_stairs,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0]",scq_export
job2_ladders,J2_ladders,category,"[-2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 5.0]",scq_export
swim_comp,Swim_comp,category,"[-1.0, 0.0, 1.0, 3.0, 4.0, 5.0, 6.0]",scq_export
swim_comp_hrs,Swim_comp_hrs,category,"[-1.0, 0.0, 1.0, 2.0, 3.0]",scq_export
swim_comp_mins,Swim_comp_mins,category,"[-1.0, 0.0, 20.0, 30.0, 45.0, 50.0]",scq_export
swim_lei,Swim_lei,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0]",scq_export
swim_lei_hrs,Swim_lei_hrs,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0]",scq_export
swim_lei_mins,Swim_lei_mins,numeric,0.0 to 50.0,scq_export
backpack,Backpack,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",scq_export
backpack_hrs,Backpack_hrs,numeric,-1.0 to 100.0,scq_export
backpack_mins,Backpack_mins,category,"[-1.0, 0.0, 15.0, 20.0, 30.0, 40.0, 45.0]",scq_export
walk_pleas,Walk_pleas,numeric,-1.0 to 8.0,scq_export
walk_pleas_hrs,Walk_pleas_hrs,numeric,-1.0 to 30.0,scq_export
walk_pleas_mins,Walk_pleas_mins,numeric,-1.0 to 50.0,scq_export
race_cycling,Race_cycling,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0]",scq_export
race_cycling_hrs,Race_cycling_hrs,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 7.0]",scq_export
race_cycling_mins,Race_cycling_mins,category,"[0.0, 4.0, 10.0, 25.0, 30.0, 45.0, 50.0]",scq_export
pleas_cycling,Pleas_cycling,numeric,-1.0 to 8.0,scq_export
pleas_cycling_hrs,Pleas_cycling_hrs,numeric,0.0 to 45.0,scq_export
pleas_cycling_mins,Pleas_cycling_mins,category,"[0.0, 4.0, 10.0, 15.0, 20.0, 25.0, 30.0, 40.0, 45.0]",scq_export
mow_lawn,Mow_lawn,category,"[-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0]",scq_export
